"longitude","latitude","time","depth","salinity","chlorophyll","dissolved_oxygen","backscatter","temperature","density","ID","date","distance","distance_km","dissolved_oxygen_2"
-126.589533802692,48.6820211052072,2022-08-05 09:48:20,159.10678780826,NA,0.0719999969005585,NA,0.000154463006765582,NA,NA,"CAN_VI_deep",2022-08-05,75888.8408570071,75.8888408570071,NA
-126.589713452001,48.6819378391782,2022-08-05 09:49:06,153.703451457254,NA,NA,114.608001708984,NA,NA,NA,"CAN_VI_deep",2022-08-05,75904.8646756084,75.9048646756084,2.63043382393813
-126.58972907368,48.6819305986539,2022-08-05 09:49:10,148.300115106248,33.8136973709088,NA,NA,NA,7.45860004425049,1026.98190221524,"CAN_VI_deep",2022-08-05,75906.2580547436,75.9062580547436,NA
-126.589772033298,48.6819106872122,2022-08-05 09:49:21,142.989956588651,NA,0.064800001680851,NA,NA,NA,NA,"CAN_VI_deep",2022-08-05,75910.0898503377,75.9100898503377,NA
-126.589951682607,48.6818274211831,2022-08-05 09:50:07,137.679798071054,NA,NA,122.90299987793,NA,NA,NA,"CAN_VI_deep",2022-08-05,75926.1137700531,75.9261137700531,2.820817073168
-126.589967304286,48.6818201806589,2022-08-05 09:50:11,132.369639553457,33.7353979221426,NA,NA,NA,7.5967001914978,1026.82763716621,"CAN_VI_deep",2022-08-05,75927.5071579789,75.9275071579789,NA
-126.590010263904,48.6818002692171,2022-08-05 09:50:22,127.071057524906,NA,0.0791999995708466,NA,0.000147019003634341,NA,NA,"CAN_VI_deep",2022-08-05,75931.3389777425,75.9313389777425,NA
-126.590189913213,48.6817170031881,2022-08-05 09:51:08,121.772475496354,NA,NA,133.169998168945,NA,NA,NA,"CAN_VI_deep",2022-08-05,75947.3629985064,75.9473629985064,3.05646082554384
-126.590205534892,48.6817097626638,2022-08-05 09:51:12,116.473893467803,33.6134432302263,NA,NA,NA,7.73159980773926,1026.63991693876,"CAN_VI_deep",2022-08-05,75948.7563952161,75.9487563952161,NA
-126.590248494509,48.6816898512221,2022-08-05 09:51:23,111.171960374215,NA,NA,NA,0.0001395750005031,NA,NA,"CAN_VI_deep",2022-08-05,75952.5882391368,75.9525882391368,NA
-126.590428143819,48.6816065851931,2022-08-05 09:52:09,105.870027280627,NA,NA,145.990005493164,NA,NA,NA,"CAN_VI_deep",2022-08-05,75968.6123608851,75.9686123608851,3.35070014902832
-126.590443765498,48.6815993446688,2022-08-05 09:52:13,100.568094187039,33.431706322907,NA,NA,NA,7.78739976882935,1026.41710029073,"CAN_VI_deep",2022-08-05,75970.0057663738,75.9700057663738,NA
-126.590486725115,48.6815794332271,2022-08-05 09:52:24,94.8698538918881,NA,0.0719999969005585,NA,0.000147019003634341,NA,NA,"CAN_VI_deep",2022-08-05,75973.8376344337,75.9738376344337,NA
-126.590666374424,48.681496167198,2022-08-05 09:53:10,89.1716135967374,NA,NA,157.188003540039,NA,NA,NA,"CAN_VI_deep",2022-08-05,75989.8618571001,75.9898618571001,3.60771180950285
-126.590681996103,48.6814889266738,2022-08-05 09:53:14,83.4733733015868,33.2716279754749,NA,NA,NA,7.87279987335205,1026.20137338496,"CAN_VI_deep",2022-08-05,75991.2552713614,75.9912552713614,NA
-126.590724955721,48.681469015232,2022-08-05 09:53:25,78.1710477713063,NA,0.108000002801418,NA,0.000197265995666385,NA,NA,"CAN_VI_deep",2022-08-05,75995.0871635468,75.9950871635468,NA
-126.59090460503,48.681385749203,2022-08-05 09:54:11,72.8687222410259,NA,NA,174.514999389648,NA,NA,NA,"CAN_VI_deep",2022-08-05,76011.1114870671,76.0111114870671,4.00539360545441
-126.590920226709,48.6813785086787,2022-08-05 09:54:15,67.5663967107455,32.9661345492117,NA,NA,NA,7.81099987030029,1025.89918366794,"CAN_VI_deep",2022-08-05,76012.5049100965,76.0125049100965,NA
-126.590963186327,48.681358597237,2022-08-05 09:54:26,62.9770582835532,NA,0.143999993801117,NA,0.0001395750005031,NA,NA,"CAN_VI_deep",2022-08-05,76016.33682639,76.01633682639,NA
-126.591142835636,48.6812753312079,2022-08-05 09:55:12,58.387719856361,NA,NA,210.699005126953,NA,NA,NA,"CAN_VI_deep",2022-08-05,76032.3612506986,76.0323612506986,4.83587342499319
-126.591158457315,48.6812680906837,2022-08-05 09:55:16,53.7983814291688,32.3776423505624,NA,NA,NA,7.80800008773804,1025.37775916904,"CAN_VI_deep",2022-08-05,76033.7546824904,76.0337546824904,NA
-126.591201416932,48.6812481792419,2022-08-05 09:55:27,49.2167289292088,NA,0.324000000953674,NA,0.00013771399972029,NA,NA,"CAN_VI_deep",2022-08-05,76037.586622877,76.037586622877,NA
-126.591381066242,48.6811649132129,2022-08-05 09:56:13,44.6350764292489,NA,NA,263.389007568359,NA,NA,NA,"CAN_VI_deep",2022-08-05,76053.6111479105,76.0536111479105,6.04519181933347
-126.591396687921,48.6811576726886,2022-08-05 09:56:17,40.053423929289,32.2910240494454,NA,NA,NA,8.35219955444336,1025.16840706195,"CAN_VI_deep",2022-08-05,76055.004588458,76.055004588458,NA
-126.591439647538,48.6811377612469,2022-08-05 09:56:28,35.5250677840788,NA,0.561600029468536,NA,0.000193543994100764,NA,NA,"CAN_VI_deep",2022-08-05,76058.836552922,76.058836552922,NA
-126.591619296847,48.6810544952179,2022-08-05 09:57:14,30.9967116388687,NA,NA,279.618011474609,NA,NA,NA,"CAN_VI_deep",2022-08-05,76074.8611786148,76.0748611786148,6.417672973941
-126.591634918526,48.6810472546936,2022-08-05 09:57:18,26.4683554936585,32.2218260478365,NA,NA,NA,9.55000019073486,1024.86877905053,"CAN_VI_deep",2022-08-05,76076.2546279131,76.0762546279131,NA
-126.591677878144,48.6810273432519,2022-08-05 09:57:29,22.2214774240793,NA,0.964800000190735,NA,0.000375922012608498,NA,NA,"CAN_VI_deep",2022-08-05,76080.0866164402,76.0800866164402,NA
-126.591857527453,48.6809440772228,2022-08-05 09:58:15,17.9745993545001,NA,NA,287.282989501953,NA,NA,NA,"CAN_VI_deep",2022-08-05,76096.1113427274,76.0961113427274,6.59359627041435
-126.591873149132,48.6809368366986,2022-08-05 09:58:19,13.7277212849209,31.9722308274053,NA,NA,NA,12.8936004638672,1024.03016981092,"CAN_VI_deep",2022-08-05,76097.5048007705,76.0975048007705,NA
-126.59191610875,48.6809169252568,2022-08-05 09:58:30,10.2570508747615,NA,1.05840003490448,NA,0.000993774039670825,NA,NA,"CAN_VI_deep",2022-08-05,76101.3368133459,76.1013368133459,NA
-126.592095758059,48.6808336592278,2022-08-05 09:59:16,6.78638046460219,NA,NA,286.365997314453,NA,NA,NA,"CAN_VI_deep",2022-08-05,76117.3616401613,76.1173616401613,6.57254985803197
-126.592111379738,48.6808264187035,2022-08-05 09:59:20,3.31571005444284,31.7774578852341,NA,NA,NA,13.9090003967285,1023.6344830351,"CAN_VI_deep",2022-08-05,76118.7551069445,76.1187551069445,NA
-126.592154339355,48.6808065072618,2022-08-05 09:59:31,4.55379180507244,NA,2.90879988670349,NA,0.00120220601093024,NA,NA,"CAN_VI_deep",2022-08-05,76122.5871435491,76.1225871435491,NA
-126.592333988665,48.6807232412327,2022-08-05 10:00:17,5.79187355570203,NA,NA,289.321990966797,NA,NA,NA,"CAN_VI_deep",2022-08-05,76138.6120708313,76.1386120708313,6.64039455971533
-126.592349610344,48.6807160007085,2022-08-05 10:00:21,7.02995530633163,31.7749142056029,NA,NA,NA,13.8906002044678,1023.65291586743,"CAN_VI_deep",2022-08-05,76140.0055463488,76.1400055463488,NA
-126.592392569961,48.6806960892667,2022-08-05 10:00:32,12.9481771327807,NA,1.33200001716614,NA,0.000947249005548656,NA,NA,"CAN_VI_deep",2022-08-05,76143.8376069706,76.1438376069706,NA
-126.59257221927,48.6806128232377,2022-08-05 10:01:18,18.8663989592297,NA,NA,292.903015136719,NA,NA,NA,"CAN_VI_deep",2022-08-05,76159.862634653,76.159862634653,6.72258469443926
-126.592587840949,48.6806055827134,2022-08-05 10:01:22,24.7846207856788,32.1988359151475,NA,NA,NA,9.58590030670166,1024.83754591597,"CAN_VI_deep",2022-08-05,76161.2561188973,76.1612561188973,NA
-126.592630800567,48.6805856712717,2022-08-05 10:01:33,29.7326579583063,NA,0.791999995708466,NA,0.000275427999440581,NA,NA,"CAN_VI_deep",2022-08-05,76165.0882035197,76.1650882035197,NA
-126.592810449876,48.6805024052427,2022-08-05 10:02:19,34.6806951309339,NA,NA,288.493011474609,NA,NA,NA,"CAN_VI_deep",2022-08-05,76181.1133315386,76.1811133315386,6.62136817706241
-126.592826071555,48.6804951647184,2022-08-05 10:02:23,39.6287323035614,32.2838061461203,NA,NA,NA,8.13570022583008,1025.19243944798,"CAN_VI_deep",2022-08-05,76182.5068245061,76.1825068245061,NA
-126.592869031172,48.6804752532767,2022-08-05 10:02:34,44.6024477747837,NA,0.395999997854233,NA,0.000160045994562097,NA,NA,"CAN_VI_deep",2022-08-05,76186.3389331147,76.1863389331147,NA
-126.593048680482,48.6803919872476,2022-08-05 10:03:20,49.576163246006,NA,NA,279.346008300781,NA,NA,NA,"CAN_VI_deep",2022-08-05,76202.3641614047,76.2023641614047,6.41143007346296
